"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGAS"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06009";"PRACUÚBA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06017";"AMAPÁ";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06025";"PORTO GRANDE";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06025";"PORTO GRANDE";"13";"Vereador";"11"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06092";"OIAPOQUE";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06092";"OIAPOQUE";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06106";"SERRA DO NAVIO";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06114";"FERREIRA GOMES";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06122";"VITÓRIA DO JARI";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06130";"LARANJAL DO JARI";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06130";"LARANJAL DO JARI";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06130";"LARANJAL DO JARI";"13";"Vereador";"13"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06157";"SANTANA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06157";"SANTANA";"13";"Vereador";"15"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06173";"TARTARUGALZINHO";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06173";"TARTARUGALZINHO";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"445";"Eleições Municipais 2020 - AP";"06/12/2020";"01/01/2021";"AP";"06050";"MACAPÁ";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"445";"Eleições Municipais 2020 - AP";"06/12/2020";"01/01/2021";"AP";"06050";"MACAPÁ";"13";"Vereador";"23"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"445";"Eleições Municipais 2020 - AP";"06/12/2020";"01/01/2021";"AP";"06050";"MACAPÁ";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06017";"AMAPÁ";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06017";"AMAPÁ";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06025";"PORTO GRANDE";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06033";"CALÇOENE";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06033";"CALÇOENE";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06033";"CALÇOENE";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06041";"ITAUBAL";"11";"Prefeito";"1"
