"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGAS"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03107";"UIRAMUTÃ";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03000";"CAROEBE";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03018";"BOA VISTA";"13";"Vereador";"23"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03026";"IRACEMA";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03034";"CARACARAÍ";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03042";"AMAJARI";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03042";"AMAJARI";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03050";"ALTO ALEGRE";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03069";"CANTÁ";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03077";"BONFIM";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03077";"BONFIM";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03085";"RORAINÓPOLIS";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03085";"RORAINÓPOLIS";"13";"Vereador";"13"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03093";"MUCAJAÍ";"13";"Vereador";"11"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03050";"ALTO ALEGRE";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03026";"IRACEMA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03026";"IRACEMA";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03093";"MUCAJAÍ";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03085";"RORAINÓPOLIS";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03158";"SÃO LUIZ";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03000";"CAROEBE";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03000";"CAROEBE";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03131";"SÃO JOÃO DA BALIZA";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03042";"AMAJARI";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03107";"UIRAMUTÃ";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03107";"UIRAMUTÃ";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03093";"MUCAJAÍ";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03069";"CANTÁ";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03077";"BONFIM";"12";"Vice-prefeito";"1"
